feature_id,category,feature,mandatory,compatibility_mode,normative_source,source_anchor,expected_behavior,fixture_ids,test_ids,artifact_paths,tolerance_id,decision_record_id,allowed_terminal_status,status,waiver_id,notes
M001,estimator,Static ATT with default unit and time FE,true,core,stata+python+kyle,docs/conformance-profile-v1.md#domain-specific-source-of-truth,Static ATT point estimate and schema match all applicable references,F001+F036,tests/testthat/test-m001-static-att.R,tests/fixtures/parity/f001-static-att,TOL001,D002+D017,parity-verified|approved-divergence,approved-divergence,,First triangular fixture covers the core static estimator with D017 Python numerical divergence
M002,inference,Default clustered standard errors and full covariance,true,core,stata,docs/behavior-decisions.md#d009-finite-sample-and-cluster-rules,Clustered SE covariance names order and sample masks follow Stata,F001+F033+F035,tests/testthat/test-m002-inference.R,tests/fixtures/parity/f001-static-att/expected/stata,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Stata is the normative oracle for v1 inference
M003,api,Primary R estimator API,true,r-native,behavior-decisions,docs/behavior-decisions.md#d002-api-architecture,R-native S3 API is primary with explicit compatibility layers,F038+F041+F049,tests/testthat/test-m003-api.R,tests/snapshots/api,EXACT,D002,parity-verified|approved-divergence,parity-verified,,API architecture is accepted
M004,compatibility,Kyle compatibility wrapper and migration helper,true,kyle,kyle_didimputation,docs/behavior-decisions.md#d014-kyle-multi-outcome-compatibility,Kyle-style public calls and multi-outcome outputs are supported,F021+F040,tests/testthat/test-m004-kyle-compatibility.R,tests/fixtures/parity/kyle,TOL003,D014+D016,parity-verified|approved-divergence,approved-divergence,,Wrapper must be tested against pinned Kyle behavior and D016 id-column divergence
M005,plotting,event_plot core data and rendering contract,true,core,stata+python,docs/behavior-decisions.md#d013-event_plot-semantic-parity,Plot data coordinates overlays validation and files match semantic references,F022+F023+F042+F043+F044,tests/testthat/test-m005-event-plot.R,tests/fixtures/parity/event-plot,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Literal Stata graph syntax is excluded by profile
M006,licensing,License and provenance posture,true,release,licensing-and-provenance,docs/licensing-and-provenance.md,Permissive package license with clean-room Stata boundary and provenance ledger,NA,tests/testthat/test-m006-provenance.R,docs/licensing-and-provenance.md,EXACT,D003,parity-verified|approved-divergence,parity-verified,,Accepted before estimator implementation
M007,performance,Benchmark budgets,true,release,bench/budgets.yml,bench/budgets.yml,All numeric budgets fail when missing or exceeded,F024+F048,tests/testthat/test-m007-bench-budget-schema.R,bench/results,TOL005,NA,parity-verified|approved-divergence,parity-verified,,Budgets are frozen and fail-capable
F001,estimator,Static balanced panel,true,core,stata+python+kyle,docs/verification-criteria.md#f001-static-balanced-panel,Static ATT on committed panel equals algebraic oracle and all references,F001,tests/testthat/test-f001-static-balanced-panel.R,tests/fixtures/parity/f001-static-att,TOL001,D002+D016+D017,parity-verified|approved-divergence,approved-divergence,,First triangular fixture with D016 Kyle and D017 Python divergence evidence
F002,estimator,Dynamic horizons,true,core,stata+python+kyle,docs/verification-criteria.md#f002-dynamic-horizons,Horizon estimates term order and support rules match references,F002,tests/testthat/test-f002-dynamic-horizons.R,tests/fixtures/parity/f002-dynamic-horizons,TOL001,D004+D017,parity-verified|approved-divergence,approved-divergence,,Covers tau0 tau1 and later terms with D017 Python numerical divergence evidence
F003,estimator,All horizons,true,core,stata+python,docs/verification-criteria.md#f003-all-horizons,All available horizons are enumerated consistently,F003,tests/testthat/test-f003-all-horizons.R,tests/fixtures/parity/f003-all-horizons,TOL001,D004+D017,parity-verified|approved-divergence,approved-divergence,,Requires reference term snapshot with D017 Python numerical divergence evidence
F004,sample,Horizon balance,true,core,stata+python,docs/verification-criteria.md#f004-horizon-balance,Horizon balance trimming matches Stata sample and diagnostics,F004,tests/testthat/test-f004-horizon-balance.R,tests/fixtures/parity/f004-horizon-balance,TOL006,D006+D017,parity-verified|approved-divergence,approved-divergence,,Sample masks are exact with D017 Python numerical divergence evidence
F005,weights,Custom positive weights,true,core,stata+python,docs/verification-criteria.md#f005-custom-positive-weights,Positive custom treatment weights normalize and aggregate as specified,F005,tests/testthat/test-f005-custom-positive-weights.R,tests/fixtures/parity/f005-custom-positive-weights,TOL001,D008+D017,parity-verified|approved-divergence,approved-divergence,,Analytic weight semantics only; D017 Python custom-weight drift evidence is recorded
F006,estimand,Difference estimand with negative weights,true,core,stata,docs/verification-criteria.md#f006-difference-estimand-with-negative-weights,Negative custom weights are accepted only for sum difference estimands,F006,tests/testthat/test-f006-difference-estimand.R,tests/fixtures/parity/f006-difference-estimand,TOL001,D008,parity-verified|approved-divergence,parity-verified,,Invalid negative weights must error
F007,weights,Analytic weights,true,core,stata+python+kyle,docs/verification-criteria.md#f007-analytic-weights,Analytic weights affect first stage and estimand aggregation consistently,F007,tests/testthat/test-f007-analytic-weights.R,tests/fixtures/parity/f007-analytic-weights,TOL001,D008+D017+D018,parity-verified|approved-divergence,approved-divergence,,Scaling invariance tested in F028
F008,first-stage,Alternative FE sets,true,core,stata+python,docs/verification-criteria.md#f008-alternative-fe-sets,No-FE unit-FE time-FE and arbitrary FE contracts follow decisions,F008,tests/testthat/test-f008-fe-sets.R,tests/fixtures/parity/f008-fe-sets,TOL001,D007,parity-verified|approved-divergence,parity-verified,,Constant-only uses fe NULL
F009,controls,Continuous controls,true,core,stata+python,docs/verification-criteria.md#f009-continuous-controls,Continuous controls residualize and validate like references,F009,tests/testthat/test-f009-controls.R,tests/fixtures/parity/f009-controls,TOL001,D007+D017,parity-verified|approved-divergence,approved-divergence,,Includes collinearity checks and D017 Python numerical divergence evidence
F010,panel,Repeated cross section,true,core,stata,docs/verification-criteria.md#f010-repeated-cross-section,Repeated-cross-section semantics match Stata where profile includes them,F010,tests/testthat/test-f010-repeated-cross-section.R,tests/fixtures/parity/f010-repeated-cross-section,TOL001,D002,parity-verified|approved-divergence,parity-verified,,Stata is primary source with algebraic ATT invariant
F011,estimand,Triple difference,true,core,stata,docs/verification-criteria.md#f011-triple-difference,Triple-difference grouping and output schema match Stata,F011,tests/testthat/test-f011-triple-difference.R,tests/fixtures/parity/f011-triple-difference,TOL001,D002,parity-verified|approved-divergence,parity-verified,,Stata primary source with algebraic ATT invariant and interacted FE syntax
F012,event-time,Shift and delta,true,core,stata,docs/verification-criteria.md#f012-shift-and-delta,Shift and delta options alter event-time weights as Stata specifies,F012,tests/testthat/test-f012-shift-delta.R,tests/fixtures/parity/f012-shift-delta,TOL001,D004,parity-verified|approved-divergence,parity-verified,,Stata primary source with shift/delta algebraic horizon targets and invalid delta probe
F013,diagnostics,Failed imputation and autosample,true,core,stata+python,docs/verification-criteria.md#f013-failed-imputation--autosample,Fail-closed default and explicit autosample diagnostics follow D006,F013,tests/testthat/test-f013-autosample.R,tests/fixtures/parity/f013-autosample,TOL006,D006,parity-verified|approved-divergence,parity-verified,,Stata fail-closed/autosample trim-drop diagnostics plus Python automatic autosample message
F014,diagnostics,minn suppression,true,core,stata+python,docs/verification-criteria.md#f014-minn-suppression,Suppressed terms remain explicit with missing estimates and diagnostics,F014,tests/testthat/test-f014-minn.R,tests/fixtures/parity/f014-minn,TOL006,D010+D017,parity-verified|approved-divergence,approved-divergence,,Native rows use D010 missing estimates while compatibility surfaces preserve Stata/Python zeroing; Python numeric drift governed by D017
F015,inference,Pretrends,true,core,stata+python+kyle,docs/verification-criteria.md#f015-pretrends,Pretrend estimates tests covariance and naming match applicable references,F015,tests/testthat/test-f015-pretrends.R,tests/fixtures/parity/f015-pretrends,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Includes pretrend diagnostics
F016,inference,Small cohorts and avgeffectsby,true,core,stata,docs/verification-criteria.md#f016-small-cohorts-and-avgeffectsby,Small cohort handling and grouped effects match Stata,F016,tests/testthat/test-f016-small-cohorts.R,tests/fixtures/parity/f016-small-cohorts,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Covers warning classes
F017,inference,Leave-out SE,true,core,stata,docs/verification-criteria.md#f017-leave-out-se,Leave-out variance behavior matches Stata,F017,tests/testthat/test-f017-leaveout-se.R,tests/fixtures/parity/f017-leaveout-se,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Exact sample masks required
F018,artifacts,Save and load weights,true,core,stata+python,docs/verification-criteria.md#f018-saveload-weights,Saved weights and loadweights metadata preserve row identity,F018,tests/testthat/test-f018-save-load-weights.R,tests/fixtures/parity/f018-save-load-weights,TOL006,D011,parity-verified|approved-divergence,parity-verified,,Input mutation forbidden
F019,artifacts,Save estimates and residuals,true,core,stata+python,docs/verification-criteria.md#f019-save-estimates-and-residuals,Saved estimates and residuals match row identity and schemas,F019,tests/testthat/test-f019-save-estimates-residuals.R,tests/fixtures/parity/f019-save-estimates-residuals,TOL006,D011,parity-verified|approved-divergence,parity-verified,,Includes metadata hashes
F020,heterogeneity,Heterogeneity and projection,true,core,stata,docs/verification-criteria.md#f020-heterogeneity-and-projection,Heterogeneity and projection options follow Stata diagnostics,F020,tests/testthat/test-f020-heterogeneity-projection.R,tests/fixtures/parity/f020-heterogeneity-projection,TOL001,D002+D019,parity-verified|approved-divergence,approved-divergence,,Autosample restrictions and Stata 14 direct-hetby divergence must be tested
F021,compatibility,Multiple outcomes,true,kyle,kyle_didimputation,docs/verification-criteria.md#f021-multiple-outcomes,Multiple-LHS Kyle calls return Kyle-style lhs output,F021,tests/testthat/test-f021-multiple-outcomes.R,tests/fixtures/parity/f021-multiple-outcomes,TOL003,D014,parity-verified|approved-divergence,parity-verified,,Mandatory for Kyle wrapper
F022,plotting,Event plot basic,true,core,stata+python,docs/verification-criteria.md#f022-event-plot-basic,Core event_plot extraction and CI coordinates match references,F022,tests/testthat/test-f022-event-plot-basic.R,tests/fixtures/parity/f022-event-plot-basic,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Plot data is testable without display
F023,plotting,Event plot Stata-like,true,stata,stata,docs/verification-criteria.md#f023-event-plot-stata-like,Stata-like extraction semantics are translated to R plot arguments,F023,tests/testthat/test-f023-event-plot-stata-like.R,tests/fixtures/parity/f023-event-plot-stata-like,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Graph syntax exclusion is preapproved
F024,performance,Performance small medium and large,true,release,bench/budgets.yml,docs/verification-criteria.md#f024-performance-smallmediumlarge,Performance benchmarks satisfy numeric budgets after parity,F024,tests/testthat/test-f024-benchmark-schema.R,bench/results/f024,TOL005,NA,parity-verified|approved-divergence,parity-verified,,Benchmarks are not default tests
F025,data,Missingness and subset semantics,true,core,stata+python+kyle,docs/verification-criteria.md#f025-missingness-and-subset-semantics,Missing values and subset filters produce exact sample masks,F025,tests/testthat/test-f025-missingness-subset.R,tests/fixtures/parity/f025-missingness-subset,TOL006,D006,parity-verified|approved-divergence,parity-verified,,Includes outcome controls FE cluster and weights
F026,data,Treatment-timing encodings,true,core,stata+python+kyle,docs/verification-criteria.md#f026-treatment-timing-encodings,NA Inf Stata missing and Kyle zero encodings follow D005,F026,tests/testthat/test-f026-treatment-timing.R,tests/fixtures/parity/f026-treatment-timing,TOL006,D005,parity-verified|approved-divergence,parity-verified,,R-native rejects zero unless explicit
F027,panel,Irregular and unbalanced panels,true,core,stata+python+kyle,docs/verification-criteria.md#f027-irregular-and-unbalanced-panels,Unbalanced panels preserve row identity and imputation eligibility,F027,tests/testthat/test-f027-irregular-unbalanced.R,tests/fixtures/parity/f027-irregular-unbalanced,TOL006,D006+D020,parity-verified|approved-divergence,approved-divergence,,Includes duplicate validation
F028,weights,Weight type and scaling,true,core,stata+python+kyle,docs/verification-criteria.md#f028-weight-type-and-scaling,Analytic weight scaling is invariant and invalid weights error,F028,tests/testthat/test-f028-weight-scaling.R,tests/fixtures/parity/f028-weight-scaling,TOL001,D008+D021,parity-verified|approved-divergence,approved-divergence,,Importance and frequency weights are excluded
F029,weights,Custom wtr validation,true,core,stata,docs/verification-criteria.md#f029-custom-wtr-validation,Custom wtr names support and invalid combinations match Stata,F029,tests/testthat/test-f029-wtr-validation.R,tests/fixtures/parity/f029-wtr-validation,TOL006,D008+D022,parity-verified|approved-divergence,approved-divergence,,Includes zero-sum and duplicate names
F030,validation,Horizon input boundaries,true,core,stata+python+kyle,docs/verification-criteria.md#f030-horizon-input-boundaries,Horizon inputs validate boundaries order duplicates and support,F030,tests/testthat/test-f030-horizon-inputs.R,tests/fixtures/parity/f030-horizon-inputs,TOL006,D004+D023,parity-verified|approved-divergence,approved-divergence,,Errors are structured with D023 fail-closed divergences
F031,first-stage,FE rank pathologies,true,core,stata+python,docs/verification-criteria.md#f031-fe-rank-pathologies,Rank deficient FE cases error or drop exactly as specified,F031,tests/testthat/test-f031-fe-rank.R,tests/fixtures/parity/f031-fe-rank,TOL006,D007+D024,parity-verified|approved-divergence,approved-divergence,,Absorbed controls fail closed under D024
F032,diagnostics,Identification failures,true,core,stata+python,docs/verification-criteria.md#f032-identification-failures,No-control no-treated and nonimputable cases fail with diagnostics,F032,tests/testthat/test-f032-identification-failures.R,tests/fixtures/parity/f032-identification-failures,TOL006,D006+D025,parity-verified|approved-divergence,approved-divergence,,Omitted-zero identification failures fail closed under D025
F033,inference,Cluster and finite-sample rules,true,core,stata,docs/verification-criteria.md#f033-cluster-and-finite-sample-rules,Cluster edge cases and finite-sample corrections follow Stata,F033,tests/testthat/test-f033-cluster-rules.R,tests/fixtures/parity/f033-cluster-rules,TOL002,D009,parity-verified|approved-divergence,parity-verified,,One-cluster behavior must be explicit
F034,inference,CI and degrees-of-freedom parity,true,core,stata+kyle,docs/verification-criteria.md#f034-ci-and-degrees-of-freedom-parity,Confidence intervals and degrees-of-freedom use reference formulas,F034,tests/testthat/test-f034-ci-df.R,tests/fixtures/parity/f034-ci-df,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Kyle CI schema included
F035,inference,Covariance ordering and singularity,true,core,stata,docs/verification-criteria.md#f035-covariance-ordering-and-singularity,Covariance matrices preserve names order and singularity semantics,F035,tests/testthat/test-f035-covariance-ordering.R,tests/fixtures/parity/f035-covariance-ordering,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Matrix stripes are exact
F036,oracle,Hand-solvable algebraic oracle,true,core,algebraic+stata+python+kyle,docs/verification-criteria.md#f036-hand-solvable-algebraic-oracle,Algebraic oracle independently verifies reference point estimates,F001+F036,tests/testthat/test-f036-algebraic-oracle.R,tests/fixtures/parity/f001-static-att/metadata,TOL001,D002+D017,parity-verified|approved-divergence,approved-divergence,,Do not derive oracle from R implementation; D017 records Python F001 numerical drift
F037,invariance,Transformation invariance,true,core,stata+python+kyle,docs/verification-criteria.md#f037-transformation-invariance,Row order scale and label transformations preserve invariant outputs,F037,tests/testthat/test-f037-invariance.R,tests/fixtures/parity/f037-invariance,TOL001,D008,parity-verified|approved-divergence,parity-verified,,Includes sorting invariance
F038,api,Data type and object behavior,true,r-native,behavior-decisions,docs/verification-criteria.md#f038-data-type-and-object-behavior,Supported input types return stable objects without mutating inputs,F038,tests/testthat/test-f038-data-types.R,tests/fixtures/api/f038-data-types,EXACT,D002,parity-verified|approved-divergence,parity-verified,,Input mutation forbidden
F039,artifacts,Saved-artifact row mapping,true,core,stata+python,docs/verification-criteria.md#f039-saved-artifact-row-mapping,Saved artifacts map exactly to stable original row ids,F039,tests/testthat/test-f039-artifact-row-mapping.R,tests/fixtures/parity/f039-artifact-row-mapping,TOL006,D011,parity-verified|approved-divergence,parity-verified,,Schema version required
F040,compatibility,Exact Kyle compatibility,true,kyle,kyle_didimputation,docs/verification-criteria.md#f040-exact-kyle-compatibility,Kyle public calls arguments output names row order and errors match,F040,tests/testthat/test-f040-kyle-compatibility.R,tests/fixtures/parity/f040-kyle-compatibility,TOL003,D014+D016,parity-verified|approved-divergence,approved-divergence,,Includes multi-outcome migration and D016 id-column divergence
F041,api,Python API and error surface,true,python,python_did_imputation,docs/verification-criteria.md#f041-python-api-and-error-surface,Python-compatible aliases fields placeholders and errors follow profile,F041,tests/testthat/test-f041-python-api.R,tests/fixtures/parity/f041-python-api,EXACT,D012+D017,parity-verified|approved-divergence,approved-divergence,,Unsupported placeholders need clear errors; D017 preserves Python object shape while core F001 numeric follows Stata/algebraic
F042,plotting,Plot input validation,true,core,stata+python,docs/verification-criteria.md#f042-plot-input-validation,Plot validation for missing duplicate invalid and partial inputs is exact,F042,tests/testthat/test-f042-plot-input-validation.R,tests/fixtures/parity/f042-plot-validation,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Validation errors are structured
F043,plotting,Plot multi-model semantics,true,core,stata+python,docs/verification-criteria.md#f043-plot-multi-model-semantics,Overlay perturbation shifting and legend data match semantic references,F043,tests/testthat/test-f043-plot-multimodel.R,tests/fixtures/parity/f043-plot-multimodel,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Supports extractable plot data
F044,plotting,Plot output and filesystem behavior,true,core,stata+python,docs/verification-criteria.md#f044-plot-output-and-filesystem-behavior,Plot object saving overwrite and noplot behavior match profile,F044,tests/testthat/test-f044-plot-filesystem.R,tests/fixtures/parity/f044-plot-filesystem,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Default tests use local temp dirs only
F045,replication,Published and example replication,true,release,stata+python+kyle,docs/verification-criteria.md#f045-publishedexample-replication,Published examples and reference examples replicate with locked sources,F045,tests/testthat/test-f045-examples.R,tests/fixtures/parity/f045-examples,TOL001,D015+D023,parity-verified|approved-divergence,approved-divergence,,Network-free committed data required; D023 Kyle all-horizon divergence evidence is recorded
F046,differential,Randomized differential testing,true,core,stata+python+kyle,docs/verification-criteria.md#f046-randomized-differential-testing,Seeded random fixtures compare all applicable references,F046,tests/testthat/test-f046-differential.R,tests/fixtures/parity/f046-differential,TOL001,D015+D017+D026,parity-verified|approved-divergence,approved-divergence,,Seeds and generators must be committed
F047,simulation,Monte Carlo statistical sanity,true,core,algebraic,docs/verification-criteria.md#f047-monte-carlo-statistical-sanity,Monte Carlo checks recover known effects within fixed statistical bands,F047,tests/testthat/test-f047-monte-carlo.R,tests/fixtures/parity/f047-monte-carlo,TOL007,D015,parity-verified|approved-divergence,parity-verified,,Bands are frozen before implementation
F048,performance,Performance pathology,true,release,bench/budgets.yml,docs/verification-criteria.md#f048-performance-pathology,Pathological saved weights and high-dimensional cases meet budgets,F048,tests/testthat/test-f048-performance-pathology-schema.R,bench/results/f048,TOL005,NA,parity-verified|approved-divergence,parity-verified,,Benchmarks fail on missing baselines
F049,api,Object and method stability,true,r-native,behavior-decisions,docs/verification-criteria.md#f049-object-and-method-stability,S3 methods tidy outputs print names and snapshots remain stable,F049,tests/testthat/test-f049-object-methods.R,tests/snapshots/f049-object-methods,EXACT,D002,parity-verified|approved-divergence,parity-verified,,No accidental object-shape drift
F050,release,Clean install and portability,true,release,package-checks,docs/verification-criteria.md#f050-clean-install-and-portability,Package builds installs checks and tests across supported platforms,F050,tests/testthat/test-f050-package-check-gates.R,check-results,TOL008,D015,parity-verified|approved-divergence,parity-verified,,Default tests are offline
